,level_0,index,time,Slope,PID,condition,method,ss,Target
181,331,631,544,-0.40050038547135536,3,N1,Observed,1,target
182,332,632,568,-0.32139636607335653,3,N1,Observed,1,target
183,333,633,592,-0.24251152249903216,3,N1,Observed,1,target
184,334,634,616,-0.1686119000620739,3,N1,Observed,1,target
185,335,635,640,-0.1663910811182954,3,N1,Observed,1,target
186,336,636,664,-0.28381967788700196,3,N1,Observed,1,target
187,337,637,688,-0.3683342415109106,3,N1,Observed,1,target
188,338,638,712,-0.4148983542528526,3,N1,Observed,1,target
189,339,639,736,-0.4318967432661158,3,N1,Observed,1,target
190,340,640,760,-0.38539078169815894,3,N1,Observed,1,target
191,341,641,784,-0.2524993437465182,3,N1,Observed,1,target
192,342,642,808,-0.12446922924550487,3,N1,Observed,1,target
193,343,643,832,-0.0840080092480859,3,N1,Observed,1,target
194,344,644,856,-0.057082672379164624,3,N1,Observed,1,target
195,345,645,880,-0.02594537501349757,3,N1,Observed,1,target
196,346,646,904,0.022278216800864597,3,N1,Observed,1,target
197,347,647,928,0.061960520043498356,3,N1,Observed,1,target
198,348,648,952,0.11232712686861566,3,N1,Observed,1,target
199,349,649,976,0.14071658511527504,3,N1,Observed,1,target
200,400,800,-200,0.19803196649331986,4,N1,Observed,1,target
201,401,801,-176,0.1653082466506126,4,N1,Observed,1,target
202,402,802,-152,0.11294435204550886,4,N1,Observed,1,target
203,403,803,-128,0.06554946386317247,4,N1,Observed,1,target
204,404,804,-104,0.06526451299192224,4,N1,Observed,1,target
205,405,805,-80,0.1069834507993548,4,N1,Observed,1,target
206,406,806,-56,0.14668029994539092,4,N1,Observed,1,target
207,407,807,-32,0.12002687813088364,4,N1,Observed,1,target
208,408,808,-8,0.018001851684250888,4,N1,Observed,1,target
209,409,809,16,-0.08730342403067158,4,N1,Observed,1,target
210,410,810,40,-0.14992882998891044,4,N1,Observed,1,target
211,411,811,64,-0.15173290880240034,4,N1,Observed,1,target
212,412,812,88,-0.09849520152355816,4,N1,Observed,1,target
213,413,813,112,-0.06702284015444716,4,N1,Observed,1,target
214,414,814,136,-0.09508211933004414,4,N1,Observed,1,target
215,415,815,160,-0.1852854006325709,4,N1,Observed,1,target
216,416,816,184,-0.3112969835845832,4,N1,Observed,1,target
217,417,817,208,-0.39880967780438553,4,N1,Observed,1,target
218,418,818,232,-0.4443094842493081,4,N1,Observed,1,target
219,419,819,256,-0.4692788389805426,4,N1,Observed,1,target
220,420,820,280,-0.4842030703046798,4,N1,Observed,1,target
221,421,821,304,-0.48719465264074574,4,N1,Observed,1,target
222,422,822,328,-0.4736292158303135,4,N1,Observed,1,target
223,423,823,352,-0.4452965735827618,4,N1,Observed,1,target
224,424,824,376,-0.4065167341989416,4,N1,Observed,1,target
225,425,825,400,-0.344276409993598,4,N1,Observed,1,target
226,426,826,424,-0.27039165104158897,4,N1,Observed,1,target
227,427,827,448,-0.2384221008332815,4,N1,Observed,1,target
228,428,828,472,-0.27549860629052436,4,N1,Observed,1,target
229,429,829,496,-0.31107240212041093,4,N1,Observed,1,target
230,430,830,520,-0.33910565297942963,4,N1,Observed,1,target
231,431,831,544,-0.3650048330212403,4,N1,Observed,1,target
232,432,832,568,-0.37348819495684765,4,N1,Observed,1,target
233,433,833,592,-0.3734833561533115,4,N1,Observed,1,target
234,434,834,616,-0.3692550189003698,4,N1,Observed,1,target
235,435,835,640,-0.34730515007319357,4,N1,Observed,1,target
236,436,836,664,-0.29547322665303183,4,N1,Observed,1,target
237,437,837,688,-0.21975286653930415,4,N1,Observed,1,target
238,438,838,712,-0.14650505995471388,4,N1,Observed,1,target
239,439,839,736,-0.12770054982501486,4,N1,Observed,1,target
240,440,840,760,-0.1444877169017729,4,N1,Observed,1,target
241,441,841,784,-0.15741138772076943,4,N1,Observed,1,target
242,442,842,808,-0.16097074443371495,4,N1,Observed,1,target
243,443,843,832,-0.16725490159579373,4,N1,Observed,1,target
244,444,844,856,-0.17457616712498705,4,N1,Observed,1,target
245,445,845,880,-0.1987066936343946,4,N1,Observed,1,target
246,446,846,904,-0.23313460462577149,4,N1,Observed,1,target
247,447,847,928,-0.2643732563397386,4,N1,Observed,1,target
248,448,848,952,-0.2747740056888562,4,N1,Observed,1,target
249,449,849,976,-0.2537307221635842,4,N1,Observed,1,target
250,500,1000,-200,-0.0894008957641616,5,N1,Observed,1,target
251,501,1001,-176,-0.046608491033281386,5,N1,Observed,1,target
252,502,1002,-152,0.01981465706215254,5,N1,Observed,1,target
253,503,1003,-128,0.09531207560840894,5,N1,Observed,1,target
254,504,1004,-104,0.15120628517041038,5,N1,Observed,1,target
255,505,1005,-80,0.16931310100058386,5,N1,Observed,1,target
256,506,1006,-56,0.16444636935388351,5,N1,Observed,1,target
257,507,1007,-32,0.14229910856493347,5,N1,Observed,1,target
258,508,1008,-8,0.07914797952286316,5,N1,Observed,1,target
259,509,1009,16,0.06362313088232258,5,N1,Observed,1,target
260,510,1010,40,0.0877672618237394,5,N1,Observed,1,target
261,511,1011,64,0.11226029211038946,5,N1,Observed,1,target
262,512,1012,88,0.10571459203683313,5,N1,Observed,1,target
263,513,1013,112,0.0742306486958957,5,N1,Observed,1,target
264,514,1014,136,0.01012732891033837,5,N1,Observed,1,target
265,515,1015,160,-0.1288704422126374,5,N1,Observed,1,target
266,516,1016,184,-0.2292520581332882,5,N1,Observed,1,target
267,517,1017,208,-0.20619652675363745,5,N1,Observed,1,target
268,518,1018,232,-0.1282144303900212,5,N1,Observed,1,target
269,519,1019,256,-0.02032110124948161,5,N1,Observed,1,target
270,520,1020,280,0.12620828914663607,5,N1,Observed,1,target
271,521,1021,304,0.1218059042020019,5,N1,Observed,1,target
272,522,1022,328,-0.022682552445801956,5,N1,Observed,1,target
273,523,1023,352,-0.11856005173823696,5,N1,Observed,1,target
274,524,1024,376,-0.15330978664235131,5,N1,Observed,1,target
275,525,1025,400,-0.21645865611456847,5,N1,Observed,1,target
276,526,1026,424,-0.27427452300321997,5,N1,Observed,1,target
277,527,1027,448,-0.2544461760191483,5,N1,Observed,1,target
278,528,1028,472,-0.1219488097467248,5,N1,Observed,1,target
279,529,1029,496,-0.08878030978090302,5,N1,Observed,1,target
280,530,1030,520,-0.16996712551501936,5,N1,Observed,1,target
281,531,1031,544,-0.24999699714638823,5,N1,Observed,1,target
282,532,1032,568,-0.2028838885869296,5,N1,Observed,1,target
283,533,1033,592,-0.0874156667135741,5,N1,Observed,1,target
284,534,1034,616,-0.05198408598235867,5,N1,Observed,1,target
285,535,1035,640,-0.0658952714105111,5,N1,Observed,1,target
