,time,Slope,PID,condition,method
259,16,0.02025938064966547,1,ss2,Observed
260,40,0.020675459839614652,1,ss2,Observed
261,64,0.06929725607559534,1,ss2,Observed
262,88,0.0701689303073325,1,ss2,Observed
263,112,0.11744574263682754,1,ss2,Observed
264,136,0.18158286114081967,1,ss2,Observed
265,160,0.1961531064271408,1,ss2,Observed
266,184,0.18235496494734624,1,ss2,Observed
267,208,0.17492248982647127,1,ss2,Observed
268,232,0.22238242025947544,1,ss2,Observed
269,256,0.28192422979501425,1,ss2,Observed
270,280,0.26366012888766055,1,ss2,Observed
271,304,0.1637224894082048,1,ss2,Observed
272,328,0.08442000739918126,1,ss2,Observed
273,352,0.0496431317124846,1,ss2,Observed
274,376,0.03510623760428363,1,ss2,Observed
275,400,0.006814149670894917,1,ss2,Observed
276,424,-0.023587980927710642,1,ss2,Observed
277,448,-0.0033421742887797304,1,ss2,Observed
278,472,0.0821841276463875,1,ss2,Observed
279,496,0.15028488452599356,1,ss2,Observed
280,520,0.14146485010648865,1,ss2,Observed
281,544,0.08443248091425494,1,ss2,Observed
282,568,0.04790469354219052,1,ss2,Observed
283,592,0.08268514711184187,1,ss2,Observed
284,616,0.0807611771753917,1,ss2,Observed
285,640,0.05146007563567776,1,ss2,Observed
286,664,-0.026243302150962943,1,ss2,Observed
287,688,-0.04662980769221459,1,ss2,Observed
288,712,0.012134691962922993,1,ss2,Observed
289,736,0.06418144730884347,1,ss2,Observed
290,760,0.0936703222336955,1,ss2,Observed
291,784,0.05972887820005277,1,ss2,Observed
292,808,-0.008883281105449625,1,ss2,Observed
293,832,-0.029744698289656372,1,ss2,Observed
294,856,-0.011246729732911215,1,ss2,Observed
295,880,-0.023927951302597547,1,ss2,Observed
296,904,-0.04386222262893307,1,ss2,Observed
297,928,-0.051006523357487836,1,ss2,Observed
298,952,-0.07721645520164265,1,ss2,Observed
299,976,-0.10434345935465413,1,ss2,Observed
300,-200,-0.004446164050448839,1,ss1_sim,Shuffled
301,-176,0.008213723916643571,1,ss1_sim,Shuffled
302,-152,0.0027343565805531636,1,ss1_sim,Shuffled
303,-128,-0.01583827137488564,1,ss1_sim,Shuffled
304,-104,0.00804119105291395,1,ss1_sim,Shuffled
305,-80,-0.04370479307716433,1,ss1_sim,Shuffled
306,-56,0.014156727494227028,1,ss1_sim,Shuffled
307,-32,-0.04380139491093807,1,ss1_sim,Shuffled
308,-8,0.0450294562381695,1,ss1_sim,Shuffled
309,16,-0.04474141439074961,1,ss1_sim,Shuffled
