,level_0,index,time,Slope,PID,condition,method,Target,ss,label,label_all,Time Period,Time
138,238,438,712,0.05084047682532048,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
139,239,439,736,0.0730128386858117,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
140,240,440,760,0.13423023989528732,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
141,241,441,784,0.1506842531350161,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
142,242,442,808,0.09385792679119792,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
143,243,443,832,-0.01383761718507824,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
144,244,444,856,-0.07210362284261322,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
145,245,445,880,-0.024667449600960584,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
146,246,446,904,0.021603294178229798,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
147,247,447,928,0.021371027020724038,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
148,248,448,952,0.04495309751547016,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
149,249,449,976,0.06456202568258075,2,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
150,300,600,-200,-0.028249759581715352,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
151,301,601,-176,-0.030025823938566787,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
152,302,602,-152,0.00040884339148339446,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
153,303,603,-128,-0.02546804463626096,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
154,304,604,-104,-0.061271757107205733,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
155,305,605,-80,-0.02063473956722395,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
156,306,606,-56,0.021838456924979325,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
157,307,607,-32,0.04465305718200835,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
158,308,608,-8,0.04203645049693303,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
159,309,609,16,0.004977173143824222,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
160,310,610,40,-0.024971392921802078,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
161,311,611,64,-0.036618002871450034,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
162,312,612,88,0.021894939834545542,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
163,313,613,112,0.08625386277223797,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
164,314,614,136,0.10855453971735719,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
165,315,615,160,0.09891072394587885,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
166,316,616,184,0.11122366227517212,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
167,317,617,208,0.13402151891757244,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
168,318,618,232,0.14192931762086106,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
169,319,619,256,0.12415540447274365,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
170,320,620,280,0.07511866111007111,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
171,321,621,304,0.005690014372279527,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
172,322,622,328,0.02634695092797329,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
173,323,623,352,0.10143347557683534,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
174,324,624,376,0.1689552917620207,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
175,325,625,400,0.2132801994460034,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
176,326,626,424,0.2354364834177772,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
177,327,627,448,0.2095472390799045,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
178,328,628,472,0.08041226959786013,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
179,329,629,496,-0.052473481215128216,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
180,330,630,520,-0.1042296690256857,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
181,331,631,544,-0.12306716183559709,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
182,332,632,568,-0.12777201579498595,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
183,333,633,592,-0.15670326502564982,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
184,334,634,616,-0.16605221565758718,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
185,335,635,640,-0.10637609577073903,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
186,336,636,664,-0.04133220192513573,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
187,337,637,688,-0.025222634584917816,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
188,338,638,712,0.06850313214617822,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
189,339,639,736,0.1897725065720494,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
190,340,640,760,0.2548147784010404,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
191,341,641,784,0.27389678281378765,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
192,342,642,808,0.2568733544892068,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
193,343,643,832,0.2097991198866668,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
194,344,644,856,0.13564335576123956,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
195,345,645,880,0.11381622740998881,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
196,346,646,904,0.15824961439649626,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
197,347,647,928,0.17498139571170124,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
198,348,648,952,0.16755308226486776,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
199,349,649,976,0.1503805860523537,3,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Second half,Second half
200,400,800,-200,-0.03676601076500577,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
201,401,801,-176,0.0483895475458444,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
202,402,802,-152,0.09663112710960499,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
203,403,803,-128,0.10272168256280484,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
204,404,804,-104,0.07911750263737517,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
205,405,805,-80,0.04413891532538053,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
206,406,806,-56,0.015989375525274626,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
207,407,807,-32,0.03696593356851566,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
208,408,808,-8,0.07425678456527057,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Pre,Pre
209,409,809,16,0.027708921395559073,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
210,410,810,40,-0.00011340563296982024,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
211,411,811,64,-0.033861802034474565,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
212,412,812,88,-0.12649633143447844,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
213,413,813,112,-0.14962672546542202,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
214,414,814,136,-0.09376699768705675,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
215,415,815,160,-0.02610421181154121,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
216,416,816,184,0.03540487808737185,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,Stim,Stim
217,417,817,208,0.04530350576813108,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
218,418,818,232,0.016922246211635152,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
219,419,819,256,0.008672125166580585,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
220,420,820,280,0.03167081618122712,4,ss1_vdis,Observed,target,1,ss1_target,target_ss1_vdis,First half,First half
